Company Name,Job Title,FALSE,Application Date,Status,Application Link,Contact Name,Contact Email,Follow-Up Date,Interview Date,Notes
Affirm,"Manager, Software Engineering",TRUE,8/19/2025,Rejected,https://job-boards.greenhouse.io/affirm/jobs/6681685003?gh_src=689c81d53us,,,,,
Fanatics,Engineering Manager - Ecosystem,FALSE,8/19/2025,Applied,https://www.linkedin.com/jobs/view/4255863147/,,,,,
Capital One,Manager of software engineering,TRUE,8/19/2025,Rejected,,Luis Aguayo,,8/22/2025,,"contacted me via linked in message to set up call, attended virtual meeting, emailed for followup."
OpenSesame,Associate Eng Manager,FALSE,8/19/2025,Applied,https://www.indeed.com/viewjob?jk=85d68a6bdec25c5c&from=shareddesktop_copy,,,,,
tenable,Engineering Manager,TRUE,8/22/2025,Applied,https://job-boards.greenhouse.io/tenableinc/jobs/4865684008,,,,,
paypal,SDM,FALSE,8/24/25,Applied,https://paypal.eightfold.ai/careers,,,,,was a general resumet submission
ynab,general,FALSE,8/25/2025,Applied,https://ynab.pinpointhq.com/register-your-interest/new,,,,,
Doge,general,FALSE,8/26/2025,Withdrawn,"legit call from USDS, (202) 881-5147",Daniel,RecruitingUSDS@doge.eop.gov,,,withdrawn over inperson 
hims & hers,Enginnering manager,TRUE,8/26/2025,Rejected,https://jobs.ashbyhq.com/hims-and-hers/95a892fb-4ac7-47f8-afd1-3426116cf13e?src=linkedinpremium,,,,,
caterpillar,Engineering manager,FALSE,8/26/2025,Applied,https://cat.wd5.myworkdayjobs.com/en-US/CaterpillarCareers/job/Engineering-Manager_R0000319568,,,,,
Fanatics,"Engineering Manager, gamification",FALSE,8/26/2025,Applied,https://www.linkedin.com/jobs/view/4255859259/,,,,,
Instacart,Engineering Manager,TRUE,8/27/2015,Applied,https://instacart.careers/job/?gh_jid=7195501&gh_src=26e143c51,,,,,
Multi Media,Engineering Manager/Tech lead,TRUE,8/27/2025,Applied,https://apply.workable.com/multimediallc/j/A2088ABAB5/,,,,,
Shopify,Engineer,FALSE,8/28/2025,Rejected,https://www.shopify.com/careers/software-engineers_a72d7608-dea6-4d80-870a-33e9077a578b/apply/thank-you,,,,,rejected email
Fedex,Software Enginner lead,FALSE,8/28/25,Applied,https://fedex.paradox.ai/co/FederalExpressCorporation41/Job?job_id=P25-239633-1,,,,,
canoe,SE Manager,FALSE,8/29/2025,Applied,"https://www.glassdoor.com/Job/remote-us-ruby-on-rails-software-engineer-jobs-SRCH_IL.0,9_IS11047_KO10,41.htm",,,,,
jobot,Senior Eng,FALSE,8/29/2025,Applied,https://www.linkedin.com/jobs/view/4265440223/,,,,,Trying to connect with hiring manager that I was connected through (Charles Simmons)
shastic,Sen Eng,FALSE,9/3/2025,Applied,https://ejwl.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/my-profile/preview/25134484,Christina Finster,https://www.linkedin.com/in/christina-finster-33499224/,,,
Vigilance Elite,IT,FALSE,9/3/25,Applied,https://shawnryanshow.com/pages/employment,,,,,
Sogeti,Lead Software Engineer,FALSE,,Applied,https://www.linkedin.com/jobs/view/4294217543,,,,,
gitlab,Intermediat SE,FALSE,9/8/2025,Rejected,https://job-boards.greenhouse.io/gitlab/jobs/8093927002,,,,,
subbase,full stack engineer,FALSE,9/8/2025,Applied,https://www.indeed.com/cmp/Subbase/jobs?jk=b52d646e32c2921f&start=0&clearPrefilter=1,,,,,
airspace,Rails/React Engineer,FALSE,9/8/2025,Applied,https://www.indeed.com/viewjob?from=app-tracker-saved-appcard&hl=en&jk=cff584c7f84f5677&tk=1j4lb002rgkt3800,,,,,
redflag ai,"Senior Software Engineer (Platform, Ruby on Rails)",FALSE,9/8/2025,Applied,https://www.indeed.com/viewjob?from=app-tracker-saved-appcard&hl=en&jk=086a09371a362ef1&tk=1j4lbro76kar9801,,,,,
samcart,senior engineer,FALSE,9/9/2025,Rejected,https://www.indeed.com/viewjob?from=app-tracker-saved-appcard&hl=en&jk=47af3251e59c523f&tk=1j4o2d2iej91e800,,,,,
prevail,Mid-Level Full Stack Developer,FALSE,9/10/25,Rejected,https://job-boards.greenhouse.io/prevail/jobs/4553411008?gh_src=7ea3152d8us,,,,,
marriot,Eng Manager,FALSE,9/10/25,Rejected,,,,,,
yendo,senior backend eng,FALSE,9/10/25,Applied,https://www.indeed.com/viewjob?from=app-tracker-saved-appcard&hl=en&jk=56c5a8e8a8928ef5&tk=1j4qpnm3qgend800&applied=1&from=smart-apply,,,,,
Lattice,senior software eng,FALSE,9/10/25,Rejected,https://www.indeed.com/viewjob?from=app-tracker-saved-appcard&hl=en&jk=a1c1491a6100d5dd&tk=1j4qpsnlh358c000,,,,,
inded,staff software eng,FALSE,9/10/25,Applied,"https://www.glassdoor.com/job-listing/staff-software-engineer-indeed-JV_KO0,23_KE24,30.htm?jl=1009850007858&cs=1_ae45faa9&s=58&t=NS&pos=101&src=GD_JOB_AD&guid=0000019935b2d27998c27b74cb23e23d&uido=09E1AA54A38065C948731FB89D628DE6&jobListingId=1009850007858&ea=1&ao=1136043&vt=w&cb=1757542536959&ctt=1757542545204",,,,,
steampunk,,FALSE,,Applied,https://careers-steampunk.icims.com/jobs/6213/job?utm_source=indeed_integration&iis=Job+Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f&mobile=false&width=1492&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240,,,,,130k
portpro,eng manager,FALSE,9/12/25,Applied,https://www.indeed.com/viewjob?from=app-tracker-saved-appcard&hl=en&jk=44f1cee9dbb0c716&tk=1j4vjstipo6kn800&applied=1&from=smart-apply,,,,,
beehiiv,senior soft,FALSE,9/12/25,Applied,https://www.indeed.com/viewjob?from=app-tracker-saved-appcard&hl=en&jk=bf6d9ee0bd5caccb&tk=1j4vk79a3358c002,,,,,
snapsheet,eng manager,FALSE,9/12/25,Screening,https://rubyonremote.com/jobs/68985-engineering-manager-at-snapsheet,,,,,
prizepicks,sen dev,FALSE,9/12/25,Applied,https://www.prizepicks.com/position?gh_jid=7145081003,,,,,
huntress,sen sotfware,FALSE,9/12/25,Applied,https://rubyonremote.com/jobs/69182-senior-software-engineer-itdr-platform-ruby-rails-at-huntress,,,,,
user interviews,sen engineer,FALSE,9/15/25,Applied,"https://www.glassdoor.com/job-listing/senior-software-engineer-user-interviews-JV_IC1142551_KO0,24_KE25,40.htm?jl=1009874900191",,,,,
steampunk,sen engineer,FALSE,9/15/25,Closed,https://careers-steampunk.icims.com/jobs/6700/software-development-team-lead/job?mode=submit_apply,,,,,from dc tech slack
lafmatch,engineer,FALSE,9/16/25,Applied,https://www.indeed.com/viewjob?from=app-tracker-saved-appcard&hl=en&jk=8a4bbbd7bbb82385&tk=1j59u7ollgnqn801&applied=1&from=smart-apply,,,,,
jobot,senior engineer,FALSE,9/16/25,Applied,https://jobot.com/details/senior-software-engineer-fullstack/15cb1b9c01,,,,,
Aha!,lead engineer,FALSE,9/17,Applied,https://www.aha.io/company/careers/current-openings/lead-ruby-on-rails-engineer-remote,,,,,
Victory Live,Staff Engineer,FALSE,9/17/25,Applied,https://ticketevolution.applytojob.com/apply/ZrETYuDOoT/Staff-Software-Engineer,,,,,
tenjin,sen engineer,FALSE,9/18/25,Applied,https://www.indeed.com/viewjob?jk=dbbea96a6cff078b&from=shareddesktop_copy,,,,,
cisco meraki,sen engineer,FALSE,9/18/25,Applied,https://www.indeed.com/viewjob?jk=aac0b917cbd1bc9f&from=shareddesktop_copy,,,,,
rootly,sen eng,FALSE,9/18/25,Applied,https://rubyonremote.com/jobs/63759-senior-software-engineer-ruby-on-rails-at-rootly,,,,,
baby list,sen eng,FALSE,9/19/25,Rejected,https://job-boards.greenhouse.io/babylist/jobs/5593055004,,,,,
airbnb,sen eng,FALSE,9/19/25,Rejected,https://careers.airbnb.com/positions/7116556/?gh_src=34ewj2,,,,,
vetzEZ,sen eng,FALSE,9/19/25,Closed,https://vetsez.breezy.hr/p/052a2f52b81401-senior-ruby-react-developer-remote-opportunity?source=directemployers,,,,,"low salary range, 125 - 135k.  They might follow back up."
jobgether,senior ruby on Rails dev,FALSE,9/23/2025,Applied,https://apply.workable.com/jobgether/j/3258BE7EEF/?utm_source=ziprecruiter,,,,,
prevail,senior full stack dev,FALSE,9/23/25,Applied,https://job-boards.greenhouse.io/prevail/jobs/4553082008?utm_source=ziprecruiter,,,,,
maxiom,senior backend rrails dev,FALSE,9/23/2025,Applied,https://www.ziprecruiter.com/ojob/maxiom-technology/senior-backend-ruby-on-rails-developer?lvk=4OkpO2RgquxKnsE7wtnaYQ.current,,,,,
sophinea,Senior ror engineer,FALSE,9/23/2025,Applied,https://apply.workable.com/sophinea/j/9DEEE94CB8/,,,,,
Draft Kings,senior rails developer,FALSE,9/23/2025,Applied,https://careers.draftkings.com/jobs/jr12343/senior-software-engineer-ruby-on-rails/,,,,,https://draftkings.wd1.myworkdayjobs.com/en-US/Employee_Referral_Portal/userHome
him & hers,mid level dev,FALSE,9/24/2025,Applied,https://jobs.ashbyhq.com/hims-and-hers/23f3a705-d51b-4c75-af0d-c467809fbee5?departmentId=f7441ac5-907c-4593-8103-7745732efc38&employmentType=FullTime&locationId=1f87444f-d9a4-4ac3-ab25-368a5ff47b45,,,,,
smalls,senior dev,FALSE,9/24/2025,Applied,https://jobs.ashbyhq.com/smalls/8395be95-012c-4dec-914a-cbfeb5128075?utm_source=ziprecruiter,,,,,
Triumph Financial,Senior Software Engineer - Ruby on Rails (Remote),FALSE,9/25/2025,Applied,https://www.ziprecruiter.com/ojob/jpIJwBumqzouLg63ysPC1g.--NyHv1WTis?zrclid=b6e633e6-4fca-43f8-abaa-6928e9d595da&lvk=jpIJwBumqzouLg63ysPC1g.--NyHv1WTis,,,,,
Doximity,"Software Engineer, Full Stack (Ruby/Rails)",FALSE,9/25/2025,Applied,https://workat.doximity.com/positions/?gh_jid=7060160,,,,,
"""8am""",Senior Fullstack Software Engineer | Ruby on Rails,FALSE,9/25/2025,Applied,https://www.8am.com/openings/?gh_jid=4566326006,,,,,
CompanyCam,Senior Software Engineer (Ruby on Rails),FALSE,9/25/2025,Screening,https://companycam.com/job?gh_jid=7453318003,,,,,
Corporate Tools,Senior Software Engineer (Ruby on Rails),FALSE,9/25/2025,Rejected,https://www.corporatetools.com/job-postings/engineering-and-development/senior-software-engineer-ruby-on-rails/?utm_source=ziprecruiter,,,,,
Context,Senior Rails Developer - Hotwire & Shape Up,FALSE,9/25/25,Applied,https://jobs.rubyonrails.org/jobs/3438-senior-rails-developer-hotwire-shape-up-context-walks-llc,,,,,
Reserv,Senior Software Engineer,FALSE,9/25/2025,Rejected,https://job-boards.greenhouse.io/reserv/jobs/4524217008?utm_source=ziprecruiter,,,,,
Kit,Senior Software Engineer (publishing),FALSE,9/26/2025,Rejected,https://jobs.ashbyhq.com/kit/8c13556b-23a8-4fd2-8e72-97ab5e2f9792,,,,,
Scribd,Senior Software Engineer (Ruby on Rails - Growth Team),FALSE,9/26/25,Rejected,https://jobs.ashbyhq.com/scribd/77f59102-bf67-4b0e-979e-4aa842dd9ad8,,,,,
haku,Senior Software Engineer,FALSE,9/26/25,Applied,https://www.ziprecruiter.com/jobs-search?search=ruby+on+rails&location=Remote&refine_by_location_type=&radius=25&days=&refine_by_employment=employment_type%3Aall&refine_by_salary=150000&refine_by_salary_ceil=&lk=l7mUj4I8SZU2ah1NQ_O94w&page=1,,,,,
ZipRecruiter,"Senior Software Engineer, Full Stack",FALSE,9/26/25,Applied,https://www.ziprecruiter.com/jobs/ziprecruiter-a231a1f4/senior-software-engineer-full-stack-b61a607a?expires=1759266725&zrclid=2d0ded61-b7b3-4002-ac5c-a9151e4aca38&tsid=111000153&utm_campaign=43024&lvk=DCqW7CJBNGIgqi0zFjO1AA.--NyHbPv4PZ&contact_id=f3174060,,,,,
settle,Senior Software Engineer,FALSE,9/26/25,Applied,Job Application for Senior Software Engineer at Settle,,,,,
snapsheet,Lead Software Eng,FALSE,9/29/2025,Applied,https://rubyonremote.com/jobs/69027-lead-software-engineer-r-d-at-snapsheet,,,,,
Monograph,Senior Software Eng,FALSE,9/29/2025,Rejected,https://rubyonremote.com/jobs/69207-senior-software-engineer-at-monograph,,,,,
Underdog,Senior Software Engineer - Rails,FALSE,9/29/2025,Applied,https://job-boards.greenhouse.io/underdogfantasy/jobs/4539144005?gh_src=691fd30d5us,,,,,
CodePath,Senior Software Engineer,FALSE,9/29/25,Screening,https://job-boards.greenhouse.io/codepath/jobs/4526154007,,,,,
epam,Lead Software,TRUE,9/30/25,Screening,https://mwejobs.maryland.gov/vosnet/jobbanks/jobdetails.aspx?enc=9B8/uT7EfbEIDLIMZ8rho/bFqeqxRHlLivh3C648JWc8zQYyMFKIxyjPelyrcN29+WUNxn3llN+3A3Hs6vL8Pn0kTNSmXZWxQT3bImf52vhfqA1nyaXeWu24G76nIqSYC5gHXHwN01oV4Fi1JGBpAn3JkTPSOH1E1nrAUxjQGS10tgC3gq8H970069WuOAqxnjPgKk1g89LJLUIcotTSZvJzorKKKP9MPHydLXyrFAbyZ8eG04a2xUVo9NOutxJUj5gLCIguT02vHvwnxYXTPOC5gO1tkYjedG5NOXd/qzcT9J+Ka5JQ8gvKXgHjp/t/IhB3f0Y120hNL3RXChOpsw==,,,,,
"The Kenjya Trusant Group, LLC",system engineer,TRUE,9/30/2025,Rejected,https://mwejobs.maryland.gov/vosnet/jobbanks/jobdetails.aspx?enc=9B8/uT7EfbEIDLIMZ8rhowzqyZjsNU1dBVrIZPNl61aLdeYEgg50x36hjNUp+PGjtfHPnqDAmr+jr6FgQyOW4S4Q64EyKC+xTL5PwiUvK5N2QETuAzmDKFbWOJiHK73ZGjt9D2oTumKnY1x4HRJXhV3qVH0dmX1T2XyyOnXYZH6KwT0wjM3sF+ncZ0r3jx+epAY1Y/U7HrIbSeTLrZl91H3oJkVxQSXER/ugVWEjBFRFBFU62n5FAZfGkJIoolBpqjavJU0EJ1Ta/lg240TkZwJi/Z7wGFHhGrQaFdA16WM9ucmT4v4ToBkwxWNEKMuocIUgBw6MhpLiBvxldyS6JYzJngo9VJeV/XgzoeFDhItxIzvKq2Ihcytnp+rWleS8m+3BeQRuwWiE9yioddYYYgrexrMH18fWC2LBNf0NRf+6xsSQUzf6MtGuF5s1z6JbVYWBxEN2T13vmLgp0ULclWAC/haNyI32qPvZm+C1L+ZQO1CkQHHlAOv+jhajz98KNfddOvsw4uUqwTCdrR8gv4qR8JxsIZAJfGOrAyn0SIcqeYG8giadm+3YK5RtzKWrifa+qLKTQux6xFzRIhA2CyNyCHjuf2kHLMIrzyNxkSaoPKP1jMl01Bl1gORojKUY,,,,,
IGS,API Developer,TRUE,9/30/25,Rejected,https://mwejobs.maryland.gov/vosnet/jobbanks/jobdetails.aspx?enc=9B8/uT7EfbEIDLIMZ8rhowzqyZjsNU1dBVrIZPNl61aLdeYEgg50x36hjNUp+PGjL6ss60amGhtbud8nHZGr35wknaqkJVlULkP+xsPnlWhqGeGUoUHy58XBHYnPKOnOaOHlw83zJFeNw22ICNjGoDO87zEBg5xAF+k+5RUwCftk5oSNrkhYPyAo+ugDDLcUSv0MWzruUB9FptlNRGTQVDnW4U1F1vUeZMADsO+Z/TYkM1jXBu5fup0uHwxPKYil315eD9R2DiQeZRtepu8Wvwgx/kDK8VqDnX+PSYiU1NOoPt5vgrff0/tgD8E5TwHOG9j11cmxO01nfKVBda3uDZAmHeoEjJlCW1nt0ExqJ4Q0Cs/j6Di/GLWcjSwAc0D0Pp3hXFUZdqz7MryBWK0Mjg==,,,,,
Info Dinamica Inc,Senior Staff Engineer,TRUE,9/30/2025,Applied,https://mwejobs.maryland.gov/vosnet/jobbanks/jobdetails.aspx?enc=9B8/uT7EfbEIDLIMZ8rhowzqyZjsNU1dBVrIZPNl61aLdeYEgg50x36hjNUp+PGjmQbnoKVIsO+VGsQEHVFM60Y0QooCwEG7tdcy6MVcohFbebq64tupP/dKOSjgx9fet5CDWnvYAZT5/+P7l5+S2LIyYh9x4Bb36bmoZ8kaPbyrUHdFAaBueeamh2eeCnXkXoRBTVbDckBtslP1kMkTL/TPNDHxG81nY6nMliVlib9cEaGWSRPZIMz6dFdQmEoYZD9gqT2/jxyJDzkEt6rLOwxNifgLxCaPb8ITRU36h+DEMHcvYyxh9d+79/x1VWWrXd4NUlHBNpvd00HmNzeb9GEHKWJGnaZ/Hd5gV65YSdYM2Dxk4TWW1BT2sc3fF4REz5YzsBFnAMwObuPYlAKDaA==,,,,,
Nike,Lead Software Engineer - Merchandising,FALSE,10/1/2025,Applied,https://careers.nike.com/lead-software-engineer-merchandising/job/R-66185?source=BY_Ziprecruiter_AppFeeder&utm_source=BY_Ziprecruiter_AppFeeder,,,,,
sana,Senior Software Engineer,FALSE,10/1/2025,Applied,https://jobs.lever.co/sanabenefits/b46198ae-1fdd-4d24-ac1c-d306f1c24521/apply,,,,,
doxo,Senior Software Engineer,FALSE,10/1/2025,Rejected,"https://www.glassdoor.com/job-listing/senior-software-engineer-doxo-JV_KO0,24_KE25,29.htm?jl=1009769698674&cs=1_41540cbd&s=269&t=NS&pos=107&src=GD_JOB_AD&guid=00000199a0b4cdd3b0ff557ada31ca65&uido=09E1AA54A38065C948731FB89D628DE6&jobListingId=1009769698674&ea=1&ao=1136043&vt=w&cb=1759337828111&ctt=1759337832831",,,,,
Decisiv,Senior Full stack engineer,FALSE,10/2/2025,Applied,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=0783af4e-4b4a-4f68-b5b9-83855521b406&ccId=19000101_000001&type=JS&lang=en_US&jobId=537886,,,,,
airbnb,Senior Fullstack Engineer Community Support Engineering,FALSE,10/2/2025,Rejected,https://careers.airbnb.com/positions/6856155/?gh_jid=6856155,,,,,
